,State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years),Political Party Governing
2404,Vermont,VT,High School Grad,2019,1254,5361,26.85,R
2405,Vermont,VT,Master's Degree,2019,797,5361,33.7,R
2406,Vermont,VT,Some College Credit,2019,987,5361,28.55,R
2407,Vermont,VT,Unknown,2019,32,5361,29.5,R
2408,Vermont,VT,9th > 12th Grade,2020,333,5133,24.8,R
2409,Vermont,VT,> 8th Grade,2020,48,5133,30.25,R
2410,Vermont,VT,Associate Degree,2020,360,5133,30.6,R
2411,Vermont,VT,Bahcelor's Degree,2020,1269,5133,32.3,R
2412,Vermont,VT,Doctorate,2020,229,5133,34.8,R
2413,Vermont,VT,High School Grad,2020,1201,5133,27.05,R
2414,Vermont,VT,Master's Degree,2020,750,5133,33.85,R
2415,Vermont,VT,Some College Credit,2020,914,5133,28.9,R
2416,Vermont,VT,Unknown,2020,29,5133,30.75,R
2417,Vermont,VT,9th > 12th Grade,2021,311,5384,24.65,R
2418,Vermont,VT,> 8th Grade,2021,43,5384,30.7,R
2419,Vermont,VT,Associate Degree,2021,400,5384,30.55,R
2420,Vermont,VT,Bahcelor's Degree,2021,1497,5384,32.45,R
2421,Vermont,VT,Doctorate,2021,215,5384,34.5,R
2422,Vermont,VT,High School Grad,2021,1115,5384,27.4,R
2423,Vermont,VT,Master's Degree,2021,840,5384,33.8,R
2424,Vermont,VT,Some College Credit,2021,938,5384,28.95,R
2425,Vermont,VT,Unknown,2021,25,5384,31.4,R
2426,Virginia,VA,9th > 12th Grade,2016,6646,102460,25.45,D
2427,Virginia,VA,> 8th Grade,2016,3045,102460,29.9,D
2428,Virginia,VA,Associate Degree,2016,6929,102460,29.75,D
2429,Virginia,VA,Bahcelor's Degree,2016,23104,102460,31.55,D
2430,Virginia,VA,Doctorate,2016,3488,102460,34.0,D
2431,Virginia,VA,High School Grad,2016,26743,102460,26.6,D
2432,Virginia,VA,Master's Degree,2016,12732,102460,33.0,D
2433,Virginia,VA,Some College Credit,2016,18795,102460,28.1,D
2434,Virginia,VA,Unknown,2016,978,102460,29.85,D
2435,Virginia,VA,9th > 12th Grade,2017,6426,100391,25.45,D
2436,Virginia,VA,> 8th Grade,2017,2840,100391,29.85,D
2437,Virginia,VA,Associate Degree,2017,7079,100391,29.85,D
2438,Virginia,VA,Bahcelor's Degree,2017,22427,100391,31.55,D
2439,Virginia,VA,Doctorate,2017,3469,100391,34.25,D
2440,Virginia,VA,High School Grad,2017,26355,100391,26.6,D
2441,Virginia,VA,Master's Degree,2017,12733,100391,33.05,D
2442,Virginia,VA,Some College Credit,2017,18057,100391,28.2,D
2443,Virginia,VA,Unknown,2017,1005,100391,29.95,D
2444,Virginia,VA,9th > 12th Grade,2018,5937,99843,25.45,D
2445,Virginia,VA,> 8th Grade,2018,2830,99843,30.05,D
2446,Virginia,VA,Associate Degree,2018,7084,99843,30.15,D
2447,Virginia,VA,Bahcelor's Degree,2018,22572,99843,31.6,D
2448,Virginia,VA,Doctorate,2018,3460,99843,34.3,D
2449,Virginia,VA,High School Grad,2018,26646,99843,26.85,D
2450,Virginia,VA,Master's Degree,2018,12795,99843,33.2,D
2451,Virginia,VA,Some College Credit,2018,17297,99843,28.4,D
2452,Virginia,VA,Unknown,2018,1222,99843,30.0,D
2453,Virginia,VA,9th > 12th Grade,2019,5451,97429,25.5,D
2454,Virginia,VA,> 8th Grade,2019,2743,97429,29.6,D
2455,Virginia,VA,Associate Degree,2019,7064,97429,29.95,D
2456,Virginia,VA,Bahcelor's Degree,2019,22222,97429,31.65,D
2457,Virginia,VA,Doctorate,2019,3319,97429,34.5,D
2458,Virginia,VA,High School Grad,2019,25988,97429,26.8,D
2459,Virginia,VA,Master's Degree,2019,12611,97429,33.3,D
2460,Virginia,VA,Some College Credit,2019,16558,97429,28.55,D
2461,Virginia,VA,Unknown,2019,1473,97429,30.2,D
2462,Virginia,VA,9th > 12th Grade,2020,5495,94749,25.7,D
2463,Virginia,VA,> 8th Grade,2020,2912,94749,29.8,D
2464,Virginia,VA,Associate Degree,2020,6916,94749,30.15,D
2465,Virginia,VA,Bahcelor's Degree,2020,21844,94749,31.75,D
2466,Virginia,VA,Doctorate,2020,3344,94749,34.35,D
2467,Virginia,VA,High School Grad,2020,25144,94749,26.85,D
2468,Virginia,VA,Master's Degree,2020,12430,94749,33.4,D
2469,Virginia,VA,Some College Credit,2020,15786,94749,28.7,D
2470,Virginia,VA,Unknown,2020,878,94749,30.65,D
2471,Virginia,VA,9th > 12th Grade,2021,5453,95825,25.95,D
2472,Virginia,VA,> 8th Grade,2021,2868,95825,29.9,D
2473,Virginia,VA,Associate Degree,2021,6959,95825,30.2,D
2474,Virginia,VA,Bahcelor's Degree,2021,23324,95825,31.85,D
2475,Virginia,VA,Doctorate,2021,3563,95825,34.5,D
2476,Virginia,VA,High School Grad,2021,24119,95825,26.9,D
2477,Virginia,VA,Master's Degree,2021,13312,95825,33.4,D
2478,Virginia,VA,Some College Credit,2021,15192,95825,28.85,D
2479,Virginia,VA,Unknown,2021,1035,95825,31.4,D
2480,Washington,WA,9th > 12th Grade,2016,8166,90505,25.3,D
2481,Washington,WA,> 8th Grade,2016,2369,90505,30.75,D
2482,Washington,WA,Associate Degree,2016,9100,90505,29.95,D
2483,Washington,WA,Bahcelor's Degree,2016,19374,90505,31.6,D
2484,Washington,WA,Doctorate,2016,2467,90505,34.2,D
2485,Washington,WA,High School Grad,2016,19303,90505,26.95,D
2486,Washington,WA,Master's Degree,2016,8204,90505,33.05,D
2487,Washington,WA,Some College Credit,2016,20437,90505,28.35,D
2488,Washington,WA,Unknown,2016,1085,90505,29.8,D
2489,Washington,WA,9th > 12th Grade,2017,7532,87562,25.65,D
2490,Washington,WA,> 8th Grade,2017,2142,87562,30.95,D
2491,Washington,WA,Associate Degree,2017,8512,87562,30.1,D
2492,Washington,WA,Bahcelor's Degree,2017,18820,87562,31.8,D
2493,Washington,WA,Doctorate,2017,2627,87562,34.35,D
2494,Washington,WA,High School Grad,2017,18739,87562,27.0,D
2495,Washington,WA,Master's Degree,2017,8392,87562,33.1,D
2496,Washington,WA,Some College Credit,2017,19479,87562,28.5,D
2497,Washington,WA,Unknown,2017,1319,87562,30.4,D
2498,Washington,WA,9th > 12th Grade,2018,7075,86085,25.75,D
2499,Washington,WA,> 8th Grade,2018,2010,86085,31.2,D
2500,Washington,WA,Associate Degree,2018,8481,86085,30.2,D
2501,Washington,WA,Bahcelor's Degree,2018,18824,86085,31.9,D
2502,Washington,WA,Doctorate,2018,2540,86085,34.55,D
2503,Washington,WA,High School Grad,2018,18640,86085,27.15,D
2504,Washington,WA,Master's Degree,2018,8434,86085,33.2,D
2505,Washington,WA,Some College Credit,2018,18566,86085,28.7,D
2506,Washington,WA,Unknown,2018,1515,86085,30.5,D
2507,Washington,WA,9th > 12th Grade,2019,6641,84895,25.9,D
2508,Washington,WA,> 8th Grade,2019,1810,84895,30.8,D
2509,Washington,WA,Associate Degree,2019,8234,84895,30.25,D
2510,Washington,WA,Bahcelor's Degree,2019,18544,84895,31.95,D
2511,Washington,WA,Doctorate,2019,2516,84895,34.55,D
2512,Washington,WA,High School Grad,2019,18217,84895,27.15,D
2513,Washington,WA,Master's Degree,2019,8745,84895,33.35,D
2514,Washington,WA,Some College Credit,2019,18294,84895,28.75,D
2515,Washington,WA,Unknown,2019,1894,84895,30.25,D
2516,Washington,WA,9th > 12th Grade,2020,6308,83086,26.0,D
2517,Washington,WA,> 8th Grade,2020,1671,83086,30.9,D
2518,Washington,WA,Associate Degree,2020,7938,83086,30.25,D
2519,Washington,WA,Bahcelor's Degree,2020,18233,83086,31.95,D
2520,Washington,WA,Doctorate,2020,2591,83086,34.6,D
2521,Washington,WA,High School Grad,2020,17930,83086,27.45,D
2522,Washington,WA,Master's Degree,2020,9090,83086,33.35,D
2523,Washington,WA,Some College Credit,2020,17369,83086,29.0,D
2524,Washington,WA,Unknown,2020,1956,83086,30.25,D
2525,Washington,WA,9th > 12th Grade,2021,5705,83911,25.95,D
2526,Washington,WA,> 8th Grade,2021,1588,83911,31.15,D
2527,Washington,WA,Associate Degree,2021,8012,83911,30.35,D
2528,Washington,WA,Bahcelor's Degree,2021,19063,83911,32.1,D
2529,Washington,WA,Doctorate,2021,2721,83911,34.85,D
2530,Washington,WA,High School Grad,2021,17267,83911,27.4,D
2531,Washington,WA,Master's Degree,2021,9692,83911,33.4,D
2532,Washington,WA,Some College Credit,2021,16960,83911,29.1,D
2533,Washington,WA,Unknown,2021,2903,83911,30.35,D
2534,West Virginia,WV,9th > 12th Grade,2016,2459,19079,23.25,D
2535,West Virginia,WV,> 8th Grade,2016,212,19079,25.5,D
2536,West Virginia,WV,Associate Degree,2016,1868,19079,28.8,D
2537,West Virginia,WV,Bahcelor's Degree,2016,2713,19079,30.1,D
2538,West Virginia,WV,Doctorate,2016,388,19079,32.55,D
2539,West Virginia,WV,High School Grad,2016,5985,19079,25.1,D
2540,West Virginia,WV,Master's Degree,2016,1156,19079,31.6,D
2541,West Virginia,WV,Some College Credit,2016,4200,19079,26.8,D
2542,West Virginia,WV,Unknown,2016,98,19079,29.7,D
2543,West Virginia,WV,9th > 12th Grade,2017,2216,18675,23.65,D
2544,West Virginia,WV,> 8th Grade,2017,212,18675,26.0,D
2545,West Virginia,WV,Associate Degree,2017,1818,18675,28.7,D
2546,West Virginia,WV,Bahcelor's Degree,2017,2592,18675,30.1,D
2547,West Virginia,WV,Doctorate,2017,407,18675,32.95,D
2548,West Virginia,WV,High School Grad,2017,5989,18675,25.15,D
2549,West Virginia,WV,Master's Degree,2017,1246,18675,31.8,D
2550,West Virginia,WV,Some College Credit,2017,4111,18675,26.8,D
2551,West Virginia,WV,Unknown,2017,84,18675,29.05,D
2552,West Virginia,WV,9th > 12th Grade,2018,2143,18248,23.65,D
2553,West Virginia,WV,> 8th Grade,2018,190,18248,26.35,D
2554,West Virginia,WV,Associate Degree,2018,1856,18248,28.8,D
2555,West Virginia,WV,Bahcelor's Degree,2018,2525,18248,30.3,D
2556,West Virginia,WV,Doctorate,2018,386,18248,33.1,D
2557,West Virginia,WV,High School Grad,2018,5905,18248,25.2,D
2558,West Virginia,WV,Master's Degree,2018,1167,18248,31.95,D
2559,West Virginia,WV,Some College Credit,2018,3978,18248,27.05,D
2560,West Virginia,WV,Unknown,2018,98,18248,30.95,D
2561,West Virginia,WV,9th > 12th Grade,2019,2076,18136,23.75,D
2562,West Virginia,WV,> 8th Grade,2019,169,18136,25.9,D
2563,West Virginia,WV,Associate Degree,2019,1816,18136,28.8,D
2564,West Virginia,WV,Bahcelor's Degree,2019,2619,18136,30.15,D
2565,West Virginia,WV,Doctorate,2019,374,18136,33.1,D
2566,West Virginia,WV,High School Grad,2019,6161,18136,25.4,D
2567,West Virginia,WV,Master's Degree,2019,1117,18136,31.9,D
2568,West Virginia,WV,Some College Credit,2019,3768,18136,27.35,D
2569,West Virginia,WV,Unknown,2019,36,18136,32.45,D
2570,West Virginia,WV,9th > 12th Grade,2020,1891,17323,23.95,D
2571,West Virginia,WV,> 8th Grade,2020,183,17323,25.6,D
2572,West Virginia,WV,Associate Degree,2020,1755,17323,28.85,D
2573,West Virginia,WV,Bahcelor's Degree,2020,2501,17323,30.05,D
2574,West Virginia,WV,Doctorate,2020,401,17323,33.15,D
2575,West Virginia,WV,High School Grad,2020,5752,17323,25.5,D
2576,West Virginia,WV,Master's Degree,2020,1165,17323,31.9,D
2577,West Virginia,WV,Some College Credit,2020,3561,17323,27.35,D
2578,West Virginia,WV,Unknown,2020,114,17323,31.1,D
2579,West Virginia,WV,9th > 12th Grade,2021,1765,17198,24.1,D
2580,West Virginia,WV,> 8th Grade,2021,170,17198,26.35,D
2581,West Virginia,WV,Associate Degree,2021,1776,17198,28.8,D
2582,West Virginia,WV,Bahcelor's Degree,2021,2588,17198,30.15,D
2583,West Virginia,WV,Doctorate,2021,402,17198,32.9,D
2584,West Virginia,WV,High School Grad,2021,5701,17198,25.4,D
2585,West Virginia,WV,Master's Degree,2021,1238,17198,31.9,D
2586,West Virginia,WV,Some College Credit,2021,3479,17198,27.35,D
2587,West Virginia,WV,Unknown,2021,79,17198,32.1,D
2588,Wisconsin,WI,9th > 12th Grade,2016,4652,66615,24.6,R
2589,Wisconsin,WI,> 8th Grade,2016,2353,66615,29.65,R
2590,Wisconsin,WI,Associate Degree,2016,7380,66615,30.05,R
2591,Wisconsin,WI,Bahcelor's Degree,2016,15927,66615,30.95,R
2592,Wisconsin,WI,Doctorate,2016,1750,66615,33.1,R
2593,Wisconsin,WI,High School Grad,2016,16058,66615,26.25,R
2594,Wisconsin,WI,Master's Degree,2016,5506,66615,32.55,R
2595,Wisconsin,WI,Some College Credit,2016,12661,66615,28.0,R
2596,Wisconsin,WI,Unknown,2016,328,66615,28.35,R
2597,Wisconsin,WI,9th > 12th Grade,2017,4477,64975,24.65,R
2598,Wisconsin,WI,> 8th Grade,2017,2282,64975,29.6,R
2599,Wisconsin,WI,Associate Degree,2017,7227,64975,30.1,R
2600,Wisconsin,WI,Bahcelor's Degree,2017,15763,64975,31.0,R
2601,Wisconsin,WI,Doctorate,2017,1673,64975,33.25,R
2602,Wisconsin,WI,High School Grad,2017,15976,64975,26.4,R
2603,Wisconsin,WI,Master's Degree,2017,5338,64975,32.65,R
2604,Wisconsin,WI,Some College Credit,2017,11901,64975,28.2,R
2605,Wisconsin,WI,Unknown,2017,338,64975,28.5,R
2606,Wisconsin,WI,9th > 12th Grade,2018,4275,64098,24.8,R
2607,Wisconsin,WI,> 8th Grade,2018,2271,64098,29.6,R
2608,Wisconsin,WI,Associate Degree,2018,7083,64098,30.35,R
2609,Wisconsin,WI,Bahcelor's Degree,2018,15717,64098,31.2,R
2610,Wisconsin,WI,Doctorate,2018,1704,64098,33.35,R
2611,Wisconsin,WI,High School Grad,2018,16035,64098,26.55,R
2612,Wisconsin,WI,Master's Degree,2018,5345,64098,32.8,R
2613,Wisconsin,WI,Some College Credit,2018,11284,64098,28.4,R
2614,Wisconsin,WI,Unknown,2018,384,64098,28.9,R
2615,Wisconsin,WI,9th > 12th Grade,2019,4039,63270,24.95,D
2616,Wisconsin,WI,> 8th Grade,2019,2277,63270,29.35,D
2617,Wisconsin,WI,Associate Degree,2019,6854,63270,30.4,D
2618,Wisconsin,WI,Bahcelor's Degree,2019,15756,63270,31.2,D
2619,Wisconsin,WI,Doctorate,2019,1730,63270,33.6,D
2620,Wisconsin,WI,High School Grad,2019,15792,63270,26.6,D
2621,Wisconsin,WI,Master's Degree,2019,5407,63270,32.75,D
2622,Wisconsin,WI,Some College Credit,2019,10985,63270,28.55,D
2623,Wisconsin,WI,Unknown,2019,430,63270,28.75,D
2624,Wisconsin,WI,9th > 12th Grade,2020,3761,60594,25.05,D
2625,Wisconsin,WI,> 8th Grade,2020,2229,60594,29.6,D
2626,Wisconsin,WI,Associate Degree,2020,6539,60594,30.45,D
2627,Wisconsin,WI,Bahcelor's Degree,2020,15369,60594,31.25,D
2628,Wisconsin,WI,Doctorate,2020,1733,60594,33.4,D
2629,Wisconsin,WI,High School Grad,2020,15101,60594,26.7,D
2630,Wisconsin,WI,Master's Degree,2020,5184,60594,32.65,D
2631,Wisconsin,WI,Some College Credit,2020,10229,60594,28.8,D
2632,Wisconsin,WI,Unknown,2020,449,60594,28.7,D
2633,Wisconsin,WI,9th > 12th Grade,2021,3449,61781,25.1,D
2634,Wisconsin,WI,> 8th Grade,2021,2315,61781,29.3,D
2635,Wisconsin,WI,Associate Degree,2021,6739,61781,30.5,D
2636,Wisconsin,WI,Bahcelor's Degree,2021,16182,61781,31.3,D
2637,Wisconsin,WI,Doctorate,2021,1891,61781,33.4,D
2638,Wisconsin,WI,High School Grad,2021,15075,61781,26.95,D
2639,Wisconsin,WI,Master's Degree,2021,5667,61781,32.65,D
2640,Wisconsin,WI,Some College Credit,2021,10031,61781,28.9,D
2641,Wisconsin,WI,Unknown,2021,432,61781,28.65,D
2642,Wyoming,WY,9th > 12th Grade,2016,698,7386,23.6,R
2643,Wyoming,WY,> 8th Grade,2016,90,7386,28.4,R
2644,Wyoming,WY,Associate Degree,2016,831,7386,28.85,R
2645,Wyoming,WY,Bahcelor's Degree,2016,1380,7386,30.55,R
2646,Wyoming,WY,Doctorate,2016,139,7386,33.1,R
2647,Wyoming,WY,High School Grad,2016,1767,7386,25.55,R
2648,Wyoming,WY,Master's Degree,2016,499,7386,32.4,R
2649,Wyoming,WY,Some College Credit,2016,1902,7386,27.1,R
2650,Wyoming,WY,Unknown,2016,80,7386,29.85,R
2651,Wyoming,WY,9th > 12th Grade,2017,606,6903,24.0,R
2652,Wyoming,WY,> 8th Grade,2017,80,6903,28.4,R
2653,Wyoming,WY,Associate Degree,2017,848,6903,29.0,R
2654,Wyoming,WY,Bahcelor's Degree,2017,1296,6903,30.55,R
2655,Wyoming,WY,Doctorate,2017,111,6903,33.1,R
2656,Wyoming,WY,High School Grad,2017,1673,6903,25.5,R
2657,Wyoming,WY,Master's Degree,2017,490,6903,32.3,R
2658,Wyoming,WY,Some College Credit,2017,1749,6903,27.35,R
2659,Wyoming,WY,Unknown,2017,50,6903,28.0,R
2660,Wyoming,WY,9th > 12th Grade,2018,555,6562,24.2,R
2661,Wyoming,WY,> 8th Grade,2018,80,6562,29.85,R
2662,Wyoming,WY,Associate Degree,2018,766,6562,29.05,R
2663,Wyoming,WY,Bahcelor's Degree,2018,1175,6562,30.7,R
2664,Wyoming,WY,Doctorate,2018,133,6562,33.65,R
2665,Wyoming,WY,High School Grad,2018,1592,6562,25.65,R
2666,Wyoming,WY,Master's Degree,2018,467,6562,32.75,R
2667,Wyoming,WY,Some College Credit,2018,1706,6562,27.4,R
2668,Wyoming,WY,Unknown,2018,88,6562,29.55,R
2669,Wyoming,WY,9th > 12th Grade,2019,556,6565,24.2,R
2670,Wyoming,WY,> 8th Grade,2019,59,6565,29.75,R
2671,Wyoming,WY,Associate Degree,2019,814,6565,29.35,R
2672,Wyoming,WY,Bahcelor's Degree,2019,1211,6565,30.9,R
2673,Wyoming,WY,Doctorate,2019,146,6565,33.2,R
2674,Wyoming,WY,High School Grad,2019,1637,6565,25.55,R
2675,Wyoming,WY,Master's Degree,2019,503,6565,32.9,R
2676,Wyoming,WY,Some College Credit,2019,1580,6565,27.25,R
2677,Wyoming,WY,Unknown,2019,59,6565,30.35,R
2678,Wyoming,WY,9th > 12th Grade,2020,498,6128,23.8,R
2679,Wyoming,WY,> 8th Grade,2020,63,6128,28.05,R
2680,Wyoming,WY,Associate Degree,2020,710,6128,29.35,R
2681,Wyoming,WY,Bahcelor's Degree,2020,1189,6128,30.75,R
2682,Wyoming,WY,Doctorate,2020,109,6128,33.4,R
2683,Wyoming,WY,High School Grad,2020,1542,6128,25.75,R
2684,Wyoming,WY,Master's Degree,2020,445,6128,32.55,R
2685,Wyoming,WY,Some College Credit,2020,1514,6128,27.5,R
2686,Wyoming,WY,Unknown,2020,58,6128,29.45,R
2687,Wyoming,WY,9th > 12th Grade,2021,487,6237,23.65,R
2688,Wyoming,WY,> 8th Grade,2021,69,6237,28.5,R
2689,Wyoming,WY,Associate Degree,2021,760,6237,29.15,R
2690,Wyoming,WY,Bahcelor's Degree,2021,1258,6237,31.05,R
2691,Wyoming,WY,Doctorate,2021,137,6237,33.45,R
2692,Wyoming,WY,High School Grad,2021,1483,6237,25.95,R
2693,Wyoming,WY,Master's Degree,2021,471,6237,32.75,R
2694,Wyoming,WY,Some College Credit,2021,1491,6237,27.45,R
2695,Wyoming,WY,Unknown,2021,81,6237,29.6,R
