State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years)
Pennsylvania,PA,Associate Degree,2017,11990,137745,29.95
Pennsylvania,PA,Bahcelor's Degree,2017,29284,137745,31.4
Pennsylvania,PA,Doctorate,2017,4521,137745,33.65
Pennsylvania,PA,High School Grad,2017,34606,137745,26.6
Pennsylvania,PA,Master's Degree,2017,16003,137745,32.75
Pennsylvania,PA,Some College Credit,2017,24070,137745,28.1
Pennsylvania,PA,Unknown,2017,977,137745,28.8
Pennsylvania,PA,9th > 12th Grade,2018,11444,135673,24.9
Pennsylvania,PA,> 8th Grade,2018,4454,135673,28.9
Pennsylvania,PA,Associate Degree,2018,11748,135673,30.1
Pennsylvania,PA,Bahcelor's Degree,2018,29163,135673,31.4
Pennsylvania,PA,Doctorate,2018,4481,135673,33.7
Pennsylvania,PA,High School Grad,2018,34084,135673,26.7
Pennsylvania,PA,Master's Degree,2018,16131,135673,32.75
Pennsylvania,PA,Some College Credit,2018,22909,135673,28.35
Pennsylvania,PA,Unknown,2018,1259,135673,29.35
Pennsylvania,PA,9th > 12th Grade,2019,10945,134230,24.95
Pennsylvania,PA,> 8th Grade,2019,4590,134230,28.85
Pennsylvania,PA,Associate Degree,2019,11265,134230,30.25
Pennsylvania,PA,Bahcelor's Degree,2019,28933,134230,31.55
Pennsylvania,PA,Doctorate,2019,4505,134230,33.85
Pennsylvania,PA,High School Grad,2019,33940,134230,26.8
Pennsylvania,PA,Master's Degree,2019,15878,134230,32.85
Pennsylvania,PA,Some College Credit,2019,22416,134230,28.5
Pennsylvania,PA,Unknown,2019,1758,134230,29.8
Pennsylvania,PA,9th > 12th Grade,2020,10584,130693,25.4
Pennsylvania,PA,> 8th Grade,2020,4527,130693,28.85
Pennsylvania,PA,Associate Degree,2020,11110,130693,30.35
Pennsylvania,PA,Bahcelor's Degree,2020,28555,130693,31.65
Pennsylvania,PA,Doctorate,2020,4582,130693,33.85
Pennsylvania,PA,High School Grad,2020,33519,130693,26.95
Pennsylvania,PA,Master's Degree,2020,15940,130693,32.95
Pennsylvania,PA,Some College Credit,2020,20890,130693,28.8
Pennsylvania,PA,Unknown,2020,986,130693,29.1
Pennsylvania,PA,9th > 12th Grade,2021,9760,132622,25.35
Pennsylvania,PA,> 8th Grade,2021,4913,132622,28.7
Pennsylvania,PA,Associate Degree,2021,11149,132622,30.55
Pennsylvania,PA,Bahcelor's Degree,2021,30278,132622,31.75
Pennsylvania,PA,Doctorate,2021,4940,132622,34.1
Pennsylvania,PA,High School Grad,2021,33040,132622,27.1
Pennsylvania,PA,Master's Degree,2021,17020,132622,33
Pennsylvania,PA,Some College Credit,2021,20558,132622,29
Pennsylvania,PA,Unknown,2021,964,132622,29.4
Rhode Island,RI,9th > 12th Grade,2016,951,10798,25.05
Rhode Island,RI,> 8th Grade,2016,283,10798,29.35
Rhode Island,RI,Associate Degree,2016,696,10798,30.45
Rhode Island,RI,Bahcelor's Degree,2016,2101,10798,31.7
Rhode Island,RI,Doctorate,2016,333,10798,33.8
Rhode Island,RI,High School Grad,2016,2035,10798,26.9
Rhode Island,RI,Master's Degree,2016,1037,10798,32.9
Rhode Island,RI,Some College Credit,2016,2090,10798,28.4
Rhode Island,RI,Unknown,2016,1272,10798,29.35
Rhode Island,RI,9th > 12th Grade,2017,942,10638,25.55
Rhode Island,RI,> 8th Grade,2017,315,10638,29.75
Rhode Island,RI,Associate Degree,2017,808,10638,30.7
Rhode Island,RI,Bahcelor's Degree,2017,2286,10638,31.9
Rhode Island,RI,Doctorate,2017,407,10638,34.05
Rhode Island,RI,High School Grad,2017,2265,10638,26.9
Rhode Island,RI,Master's Degree,2017,1102,10638,33
Rhode Island,RI,Some College Credit,2017,2219,10638,28.55
Rhode Island,RI,Unknown,2017,294,10638,28.5
Rhode Island,RI,9th > 12th Grade,2018,898,10506,25.55
Rhode Island,RI,> 8th Grade,2018,269,10506,30.15
Rhode Island,RI,Associate Degree,2018,741,10506,30.7
Rhode Island,RI,Bahcelor's Degree,2018,2270,10506,31.95
Rhode Island,RI,Doctorate,2018,350,10506,34.2
Rhode Island,RI,High School Grad,2018,2132,10506,27.25
Rhode Island,RI,Master's Degree,2018,1067,10506,33.15
Rhode Island,RI,Some College Credit,2018,2202,10506,28.9
Rhode Island,RI,Unknown,2018,577,10506,29.15
Rhode Island,RI,9th > 12th Grade,2019,928,10175,25.8
Rhode Island,RI,> 8th Grade,2019,289,10175,30.8
Rhode Island,RI,Associate Degree,2019,708,10175,30.95
Rhode Island,RI,Bahcelor's Degree,2019,2226,10175,31.8
Rhode Island,RI,Doctorate,2019,362,10175,34.1
Rhode Island,RI,High School Grad,2019,2118,10175,27.35
Rhode Island,RI,Master's Degree,2019,1100,10175,33.35
Rhode Island,RI,Some College Credit,2019,2032,10175,28.9
Rhode Island,RI,Unknown,2019,412,10175,29.65
Rhode Island,RI,9th > 12th Grade,2020,897,10101,26.15
Rhode Island,RI,> 8th Grade,2020,316,10101,29.95
Rhode Island,RI,Associate Degree,2020,737,10101,30.95
Rhode Island,RI,Bahcelor's Degree,2020,2267,10101,32.05
Rhode Island,RI,Doctorate,2020,361,10101,34.1
Rhode Island,RI,High School Grad,2020,2097,10101,27.4
Rhode Island,RI,Master's Degree,2020,1197,10101,33.25
Rhode Island,RI,Some College Credit,2020,2110,10101,29.05
Rhode Island,RI,Unknown,2020,119,10101,29.85
Rhode Island,RI,9th > 12th Grade,2021,852,10464,26.45
Rhode Island,RI,> 8th Grade,2021,291,10464,29.95
Rhode Island,RI,Associate Degree,2021,786,10464,31
Rhode Island,RI,Bahcelor's Degree,2021,2547,10464,32.2
Rhode Island,RI,Doctorate,2021,424,10464,34.15
Rhode Island,RI,High School Grad,2021,2049,10464,27.75
Rhode Island,RI,Master's Degree,2021,1317,10464,33.45
Rhode Island,RI,Some College Credit,2021,2166,10464,28.95
Rhode Island,RI,Unknown,2021,32,10464,29.9
South Carolina,SC,9th > 12th Grade,2016,6681,57342,24.1
South Carolina,SC,> 8th Grade,2016,1488,57342,29.15
South Carolina,SC,Associate Degree,2016,5190,57342,29.75
South Carolina,SC,Bahcelor's Degree,2016,10404,57342,30.85
South Carolina,SC,Doctorate,2016,1249,57342,33.2
South Carolina,SC,High School Grad,2016,13535,57342,25.55
South Carolina,SC,Master's Degree,2016,4535,57342,32.45
South Carolina,SC,Some College Credit,2016,14094,57342,27.05
South Carolina,SC,Unknown,2016,166,57342,28.05
South Carolina,SC,9th > 12th Grade,2017,6376,57029,24.4
South Carolina,SC,> 8th Grade,2017,1384,57029,29.1
South Carolina,SC,Associate Degree,2017,5132,57029,29.65
South Carolina,SC,Bahcelor's Degree,2017,10329,57029,30.85
South Carolina,SC,Doctorate,2017,1228,57029,33.3
South Carolina,SC,High School Grad,2017,13793,57029,25.65
South Carolina,SC,Master's Degree,2017,4408,57029,32.5
South Carolina,SC,Some College Credit,2017,14205,57029,27.15
South Carolina,SC,Unknown,2017,174,57029,28.3
South Carolina,SC,9th > 12th Grade,2018,6062,56669,24.25
South Carolina,SC,> 8th Grade,2018,1293,56669,29.05
South Carolina,SC,Associate Degree,2018,5215,56669,29.75
South Carolina,SC,Bahcelor's Degree,2018,10514,56669,30.95
South Carolina,SC,Doctorate,2018,1242,56669,33.15
South Carolina,SC,High School Grad,2018,14085,56669,25.85
South Carolina,SC,Master's Degree,2018,4467,56669,32.6
South Carolina,SC,Some College Credit,2018,13570,56669,27.4
South Carolina,SC,Unknown,2018,221,56669,28.5
South Carolina,SC,9th > 12th Grade,2019,5924,57038,24.45
South Carolina,SC,> 8th Grade,2019,1323,57038,28.7
South Carolina,SC,Associate Degree,2019,5098,57038,29.9
South Carolina,SC,Bahcelor's Degree,2019,10710,57038,31
South Carolina,SC,Doctorate,2019,1268,57038,33.65
South Carolina,SC,High School Grad,2019,14502,57038,25.8
South Carolina,SC,Master's Degree,2019,4611,57038,32.7
South Carolina,SC,Some College Credit,2019,13319,57038,27.6
South Carolina,SC,Unknown,2019,283,57038,28.3
South Carolina,SC,9th > 12th Grade,2020,5478,55704,24.6
South Carolina,SC,> 8th Grade,2020,1312,55704,28.65
South Carolina,SC,Associate Degree,2020,5081,55704,29.95
South Carolina,SC,Bahcelor's Degree,2020,10573,55704,31
South Carolina,SC,Doctorate,2020,1298,55704,33.4
South Carolina,SC,High School Grad,2020,14594,55704,26.1
South Carolina,SC,Master's Degree,2020,4591,55704,32.85
South Carolina,SC,Some College Credit,2020,12574,55704,27.8
South Carolina,SC,Unknown,2020,203,55704,28.45
South Carolina,SC,9th > 12th Grade,2021,5056,57185,24.5
South Carolina,SC,> 8th Grade,2021,1280,57185,28.95
South Carolina,SC,Associate Degree,2021,5383,57185,30.05
South Carolina,SC,Bahcelor's Degree,2021,11437,57185,31
South Carolina,SC,Doctorate,2021,1393,57185,33.65
South Carolina,SC,High School Grad,2021,14909,57185,26.2
South Carolina,SC,Master's Degree,2021,5120,57185,32.85
South Carolina,SC,Some College Credit,2021,12406,57185,27.9
South Carolina,SC,Unknown,2021,201,57185,29.75
South Dakota,SD,9th > 12th Grade,2016,1416,12275,23.9
South Dakota,SD,> 8th Grade,2016,371,12275,28.7
South Dakota,SD,Associate Degree,2016,1347,12275,29.3
South Dakota,SD,Bahcelor's Degree,2016,2861,12275,30.15
South Dakota,SD,Doctorate,2016,293,12275,32.35
South Dakota,SD,High School Grad,2016,3028,12275,26.4
South Dakota,SD,Master's Degree,2016,816,12275,31.9
South Dakota,SD,Some College Credit,2016,2113,12275,27.3
South Dakota,SD,Unknown,2016,30,12275,28.3
South Dakota,SD,9th > 12th Grade,2017,1432,12134,24.3
South Dakota,SD,> 8th Grade,2017,450,12134,29.3
South Dakota,SD,Associate Degree,2017,1300,12134,29.5
South Dakota,SD,Bahcelor's Degree,2017,2761,12134,30.35
South Dakota,SD,Doctorate,2017,277,12134,32.25
South Dakota,SD,High School Grad,2017,2944,12134,26.5
South Dakota,SD,Master's Degree,2017,820,12134,31.9
South Dakota,SD,Some College Credit,2017,2110,12134,27.7
South Dakota,SD,Unknown,2017,40,12134,29.45
South Dakota,SD,9th > 12th Grade,2018,1282,11893,24.35
South Dakota,SD,> 8th Grade,2018,419,11893,28.95
South Dakota,SD,Associate Degree,2018,1288,11893,29.4
South Dakota,SD,Bahcelor's Degree,2018,2796,11893,30.4
South Dakota,SD,Doctorate,2018,321,11893,32.25
South Dakota,SD,High School Grad,2018,2901,11893,26.55
South Dakota,SD,Master's Degree,2018,859,11893,31.8
South Dakota,SD,Some College Credit,2018,1975,11893,27.8
South Dakota,SD,Unknown,2018,52,11893,28.2
South Dakota,SD,9th > 12th Grade,2019,1206,11449,24.6
South Dakota,SD,> 8th Grade,2019,452,11449,29.15
South Dakota,SD,Associate Degree,2019,1209,11449,29.3
South Dakota,SD,Bahcelor's Degree,2019,2722,11449,30.4
South Dakota,SD,Doctorate,2019,309,11449,32.45
South Dakota,SD,High School Grad,2019,2783,11449,26.75
South Dakota,SD,Master's Degree,2019,862,11449,31.95
South Dakota,SD,Some College Credit,2019,1871,11449,27.75
South Dakota,SD,Unknown,2019,35,11449,27.5
South Dakota,SD,9th > 12th Grade,2020,1173,10960,24.6
South Dakota,SD,> 8th Grade,2020,439,10960,28.8
South Dakota,SD,Associate Degree,2020,1145,10960,29.7
South Dakota,SD,Bahcelor's Degree,2020,2625,10960,30.35
South Dakota,SD,Doctorate,2020,289,10960,31.95
South Dakota,SD,High School Grad,2020,2747,10960,26.7
South Dakota,SD,Master's Degree,2020,822,10960,31.9
South Dakota,SD,Some College Credit,2020,1684,10960,28
South Dakota,SD,Unknown,2020,36,10960,29.1
South Dakota,SD,9th > 12th Grade,2021,1138,11369,24.7
South Dakota,SD,> 8th Grade,2021,439,11369,29.15
South Dakota,SD,Associate Degree,2021,1234,11369,29.6
South Dakota,SD,Bahcelor's Degree,2021,2827,11369,30.35
South Dakota,SD,Doctorate,2021,309,11369,32.2
South Dakota,SD,High School Grad,2021,2822,11369,27.05
South Dakota,SD,Master's Degree,2021,862,11369,32
South Dakota,SD,Some College Credit,2021,1695,11369,28.15
South Dakota,SD,Unknown,2021,43,11369,28.4
Tennessee,TN,9th > 12th Grade,2016,8404,80807,24.35
Tennessee,TN,> 8th Grade,2016,2674,80807,29.25
Tennessee,TN,Associate Degree,2016,5734,80807,29.25
Tennessee,TN,Bahcelor's Degree,2016,13887,80807,30.5
Tennessee,TN,Doctorate,2016,1799,80807,33.15
Tennessee,TN,High School Grad,2016,22621,80807,25.25
Tennessee,TN,Master's Degree,2016,5889,80807,32.1
Tennessee,TN,Some College Credit,2016,19293,80807,26.9
Tennessee,TN,Unknown,2016,506,80807,28.65
Tennessee,TN,9th > 12th Grade,2017,7987,81016,24.4
Tennessee,TN,> 8th Grade,2017,2730,81016,29.4
Tennessee,TN,Associate Degree,2017,5868,81016,29.2
Tennessee,TN,Bahcelor's Degree,2017,14338,81016,30.55
Tennessee,TN,Doctorate,2017,1856,81016,33.25
Tennessee,TN,High School Grad,2017,22746,81016,25.3
Tennessee,TN,Master's Degree,2017,5887,81016,32.2
Tennessee,TN,Some College Credit,2017,19065,81016,26.95
Tennessee,TN,Unknown,2017,539,81016,29
Tennessee,TN,9th > 12th Grade,2018,7604,80751,24.5
Tennessee,TN,> 8th Grade,2018,2572,80751,29.35
Tennessee,TN,Associate Degree,2018,5919,80751,29.3
Tennessee,TN,Bahcelor's Degree,2018,14393,80751,30.6
Tennessee,TN,Doctorate,2018,1886,80751,33.45
Tennessee,TN,High School Grad,2018,22780,80751,25.45
Tennessee,TN,Master's Degree,2018,6095,80751,32.35
Tennessee,TN,Some College Credit,2018,18865,80751,27.2
Tennessee,TN,Unknown,2018,637,80751,28.75
Tennessee,TN,9th > 12th Grade,2019,7315,80450,24.65
Tennessee,TN,> 8th Grade,2019,2886,80450,28.95
Tennessee,TN,Associate Degree,2019,6076,80450,29.2
Tennessee,TN,Bahcelor's Degree,2019,14637,80450,30.65
Tennessee,TN,Doctorate,2019,1792,80450,33.35
Tennessee,TN,High School Grad,2019,22554,80450,25.6
Tennessee,TN,Master's Degree,2019,6034,80450,32.4
Tennessee,TN,Some College Credit,2019,18678,80450,27.35
Tennessee,TN,Unknown,2019,478,80450,28.5
Tennessee,TN,9th > 12th Grade,2020,7220,78689,24.7
Tennessee,TN,> 8th Grade,2020,3099,78689,28.7
Tennessee,TN,Associate Degree,2020,5793,78689,29.25
Tennessee,TN,Bahcelor's Degree,2020,14632,78689,30.65
Tennessee,TN,Doctorate,2020,1838,78689,33.5
Tennessee,TN,High School Grad,2020,22506,78689,25.75
Tennessee,TN,Master's Degree,2020,6147,78689,32.35
Tennessee,TN,Some College Credit,2020,17175,78689,27.55
Tennessee,TN,Unknown,2020,279,78689,28.5
Tennessee,TN,9th > 12th Grade,2021,7022,81717,24.7
Tennessee,TN,> 8th Grade,2021,3186,81717,28.6
Tennessee,TN,Associate Degree,2021,6285,81717,29.3
Tennessee,TN,Bahcelor's Degree,2021,16136,81717,30.75
Tennessee,TN,Doctorate,2021,2174,81717,33.45
Tennessee,TN,High School Grad,2021,22626,81717,25.8
Tennessee,TN,Master's Degree,2021,6790,81717,32.4
Tennessee,TN,Some College Credit,2021,17184,81717,27.75
Tennessee,TN,Unknown,2021,314,81717,29.05
Texas,TX,9th > 12th Grade,2016,58722,398047,25.2
Texas,TX,> 8th Grade,2016,15083,398047,29.15
Texas,TX,Associate Degree,2016,24479,398047,29.45
Texas,TX,Bahcelor's Degree,2016,71613,398047,31.1
Texas,TX,Doctorate,2016,7805,398047,33.5
Texas,TX,High School Grad,2016,106705,398047,25.8
Texas,TX,Master's Degree,2016,26219,398047,32.6
Texas,TX,Some College Credit,2016,86833,398047,27.35
Texas,TX,Unknown,2016,588,398047,28.35
Texas,TX,9th > 12th Grade,2017,53647,382050,25.4
Texas,TX,> 8th Grade,2017,12913,382050,29.35
Texas,TX,Associate Degree,2017,24008,382050,29.5
Texas,TX,Bahcelor's Degree,2017,69377,382050,31.2
Texas,TX,Doctorate,2017,7731,382050,33.6
Texas,TX,High School Grad,2017,105131,382050,25.95
Texas,TX,Master's Degree,2017,25678,382050,32.7
Texas,TX,Some College Credit,2017,82983,382050,27.55
Texas,TX,Unknown,2017,582,382050,29.05
Texas,TX,9th > 12th Grade,2018,50716,378624,25.6
Texas,TX,> 8th Grade,2018,11958,378624,29.15
Texas,TX,Associate Degree,2018,24990,378624,29.6
Texas,TX,Bahcelor's Degree,2018,70725,378624,31.3
Texas,TX,Doctorate,2018,7873,378624,33.7
Texas,TX,High School Grad,2018,105680,378624,26.1
Texas,TX,Master's Degree,2018,26381,378624,32.8
Texas,TX,Some College Credit,2018,79731,378624,27.7
Texas,TX,Unknown,2018,570,378624,29.5
Texas,TX,9th > 12th Grade,2019,46208,377599,25.65
Texas,TX,> 8th Grade,2019,12754,377599,29.1
Texas,TX,Associate Degree,2019,24938,377599,29.55
Texas,TX,Bahcelor's Degree,2019,70820,377599,31.3
Texas,TX,Doctorate,2019,7884,377599,33.8
Texas,TX,High School Grad,2019,107476,377599,26.15
Texas,TX,Master's Degree,2019,27101,377599,32.85
Texas,TX,Some College Credit,2019,79441,377599,27.8
Texas,TX,Unknown,2019,977,377599,29.2
Texas,TX,9th > 12th Grade,2020,42089,368190,25.6
Texas,TX,> 8th Grade,2020,11387,368190,29.15
Texas,TX,Associate Degree,2020,24940,368190,29.55
Texas,TX,Bahcelor's Degree,2020,70476,368190,31.3
Texas,TX,Doctorate,2020,7541,368190,34
Texas,TX,High School Grad,2020,107422,368190,26.25
Texas,TX,Master's Degree,2020,26494,368190,32.95
Texas,TX,Some College Credit,2020,76555,368190,27.9
Texas,TX,Unknown,2020,1286,368190,29.15
Texas,TX,9th > 12th Grade,2021,38771,373594,25.6
Texas,TX,> 8th Grade,2021,11460,373594,29
Texas,TX,Associate Degree,2021,26431,373594,29.6
Texas,TX,Bahcelor's Degree,2021,74309,373594,31.3
Texas,TX,Doctorate,2021,8373,373594,34
Texas,TX,High School Grad,2021,108790,373594,26.35
Texas,TX,Master's Degree,2021,28873,373594,32.95
Texas,TX,Some College Credit,2021,74910,373594,28.15
Texas,TX,Unknown,2021,1677,373594,29.9
Utah,UT,9th > 12th Grade,2016,3614,50464,25.3
Utah,UT,> 8th Grade,2016,786,50464,30.95
Utah,UT,Associate Degree,2016,5751,50464,29.05
Utah,UT,Bahcelor's Degree,2016,13418,50464,30
Utah,UT,Doctorate,2016,653,50464,33.5
Utah,UT,High School Grad,2016,9718,50464,26.35
Utah,UT,Master's Degree,2016,2678,50464,32.5
Utah,UT,Some College Credit,2016,12560,50464,28
Utah,UT,Unknown,2016,1286,50464,29.5
Utah,UT,9th > 12th Grade,2017,3362,48585,25.25
Utah,UT,> 8th Grade,2017,790,48585,31.3
Utah,UT,Associate Degree,2017,5420,48585,29
Utah,UT,Bahcelor's Degree,2017,13104,48585,30
Utah,UT,Doctorate,2017,648,48585,33.4
Utah,UT,High School Grad,2017,9536,48585,26.45
Utah,UT,Master's Degree,2017,2680,48585,32.6
Utah,UT,Some College Credit,2017,12280,48585,27.95
Utah,UT,Unknown,2017,765,48585,29.05
Utah,UT,9th > 12th Grade,2018,3074,47209,25.4
Utah,UT,> 8th Grade,2018,632,47209,31.25
Utah,UT,Associate Degree,2018,5188,47209,29.05
Utah,UT,Bahcelor's Degree,2018,12978,47209,30.05
Utah,UT,Doctorate,2018,616,47209,33.6
Utah,UT,High School Grad,2018,9322,47209,26.4
Utah,UT,Master's Degree,2018,2656,47209,32.55
Utah,UT,Some College Credit,2018,11451,47209,28
Utah,UT,Unknown,2018,1292,47209,29.4
Utah,UT,9th > 12th Grade,2019,2840,46826,25.5
Utah,UT,> 8th Grade,2019,561,46826,30.9
Utah,UT,Associate Degree,2019,4926,46826,29.05
Utah,UT,Bahcelor's Degree,2019,13140,46826,30.05
Utah,UT,Doctorate,2019,630,46826,33.9
Utah,UT,High School Grad,2019,9225,46826,26.55
Utah,UT,Master's Degree,2019,2694,46826,32.55
Utah,UT,Some College Credit,2019,11243,46826,28.05
Utah,UT,Unknown,2019,1567,46826,29.6
Utah,UT,9th > 12th Grade,2020,2679,45702,25.35
Utah,UT,> 8th Grade,2020,514,45702,30.4
Utah,UT,Associate Degree,2020,4909,45702,29
Utah,UT,Bahcelor's Degree,2020,12896,45702,30.05
Utah,UT,Doctorate,2020,697,45702,33.7
Utah,UT,High School Grad,2020,8971,45702,26.65
Utah,UT,Master's Degree,2020,2813,45702,32.5
Utah,UT,Some College Credit,2020,10839,45702,28.1
Utah,UT,Unknown,2020,1384,45702,29.5
Utah,UT,9th > 12th Grade,2021,2517,46712,25.4
Utah,UT,> 8th Grade,2021,486,46712,30.05
Utah,UT,Associate Degree,2021,4775,46712,29.05
Utah,UT,Bahcelor's Degree,2021,13666,46712,30.15
Utah,UT,Doctorate,2021,737,46712,33.75
Utah,UT,High School Grad,2021,9393,46712,26.7
Utah,UT,Master's Degree,2021,3215,46712,32.1
Utah,UT,Some College Credit,2021,10740,46712,28.1
Utah,UT,Unknown,2021,1183,46712,30.05
Vermont,VT,9th > 12th Grade,2016,371,5756,24.75
Vermont,VT,> 8th Grade,2016,37,5756,28.85
Vermont,VT,Associate Degree,2016,441,5756,30.15
Vermont,VT,Bahcelor's Degree,2016,1422,5756,31.65
Vermont,VT,Doctorate,2016,207,5756,34.05
Vermont,VT,High School Grad,2016,1436,5756,26.4
Vermont,VT,Master's Degree,2016,752,5756,33.2
Vermont,VT,Some College Credit,2016,1046,5756,27.85
Vermont,VT,Unknown,2016,44,5756,30.25
Vermont,VT,9th > 12th Grade,2017,352,5655,24.3
Vermont,VT,> 8th Grade,2017,45,5655,29.75
Vermont,VT,Associate Degree,2017,413,5655,30.05
Vermont,VT,Bahcelor's Degree,2017,1435,5655,31.7
Vermont,VT,Doctorate,2017,211,5655,34.15
Vermont,VT,High School Grad,2017,1412,5655,26.5
Vermont,VT,Master's Degree,2017,747,5655,33.5
Vermont,VT,Some College Credit,2017,1006,5655,28.4
Vermont,VT,Unknown,2017,34,5655,29.3
Vermont,VT,9th > 12th Grade,2018,370,5432,24.45
Vermont,VT,> 8th Grade,2018,41,5432,33.3
Vermont,VT,Associate Degree,2018,448,5432,30.3
Vermont,VT,Bahcelor's Degree,2018,1341,5432,31.9
Vermont,VT,Doctorate,2018,214,5432,34.15
Vermont,VT,High School Grad,2018,1302,5432,26.9
Vermont,VT,Master's Degree,2018,692,5432,33.65
Vermont,VT,Some College Credit,2018,982,5432,28.2
Vermont,VT,Unknown,2018,42,5432,29.45
Vermont,VT,9th > 12th Grade,2019,317,5361,24.7
Vermont,VT,> 8th Grade,2019,48,5361,29.8
Vermont,VT,Associate Degree,2019,370,5361,30.2
Vermont,VT,Bahcelor's Degree,2019,1349,5361,31.95
Vermont,VT,Doctorate,2019,207,5361,34.65
Vermont,VT,High School Grad,2019,1254,5361,26.85
Vermont,VT,Master's Degree,2019,797,5361,33.7
Vermont,VT,Some College Credit,2019,987,5361,28.55
Vermont,VT,Unknown,2019,32,5361,29.5
Vermont,VT,9th > 12th Grade,2020,333,5133,24.8
Vermont,VT,> 8th Grade,2020,48,5133,30.25
Vermont,VT,Associate Degree,2020,360,5133,30.6
Vermont,VT,Bahcelor's Degree,2020,1269,5133,32.3
Vermont,VT,Doctorate,2020,229,5133,34.8
Vermont,VT,High School Grad,2020,1201,5133,27.05
Vermont,VT,Master's Degree,2020,750,5133,33.85
Vermont,VT,Some College Credit,2020,914,5133,28.9
Vermont,VT,Unknown,2020,29,5133,30.75
Vermont,VT,9th > 12th Grade,2021,311,5384,24.65
Vermont,VT,> 8th Grade,2021,43,5384,30.7
Vermont,VT,Associate Degree,2021,400,5384,30.55
Vermont,VT,Bahcelor's Degree,2021,1497,5384,32.45
Vermont,VT,Doctorate,2021,215,5384,34.5
Vermont,VT,High School Grad,2021,1115,5384,27.4
Vermont,VT,Master's Degree,2021,840,5384,33.8
Vermont,VT,Some College Credit,2021,938,5384,28.95
Vermont,VT,Unknown,2021,25,5384,31.4
Virginia,VA,9th > 12th Grade,2016,6646,102460,25.45
Virginia,VA,> 8th Grade,2016,3045,102460,29.9
Virginia,VA,Associate Degree,2016,6929,102460,29.75
Virginia,VA,Bahcelor's Degree,2016,23104,102460,31.55
Virginia,VA,Doctorate,2016,3488,102460,34
Virginia,VA,High School Grad,2016,26743,102460,26.6
Virginia,VA,Master's Degree,2016,12732,102460,33
Virginia,VA,Some College Credit,2016,18795,102460,28.1
Virginia,VA,Unknown,2016,978,102460,29.85
Virginia,VA,9th > 12th Grade,2017,6426,100391,25.45
Virginia,VA,> 8th Grade,2017,2840,100391,29.85
Virginia,VA,Associate Degree,2017,7079,100391,29.85
Virginia,VA,Bahcelor's Degree,2017,22427,100391,31.55
Virginia,VA,Doctorate,2017,3469,100391,34.25
Virginia,VA,High School Grad,2017,26355,100391,26.6
Virginia,VA,Master's Degree,2017,12733,100391,33.05
Virginia,VA,Some College Credit,2017,18057,100391,28.2
Virginia,VA,Unknown,2017,1005,100391,29.95
Virginia,VA,9th > 12th Grade,2018,5937,99843,25.45
Virginia,VA,> 8th Grade,2018,2830,99843,30.05
Virginia,VA,Associate Degree,2018,7084,99843,30.15
Virginia,VA,Bahcelor's Degree,2018,22572,99843,31.6
Virginia,VA,Doctorate,2018,3460,99843,34.3
Virginia,VA,High School Grad,2018,26646,99843,26.85
Virginia,VA,Master's Degree,2018,12795,99843,33.2
Virginia,VA,Some College Credit,2018,17297,99843,28.4
Virginia,VA,Unknown,2018,1222,99843,30
Virginia,VA,9th > 12th Grade,2019,5451,97429,25.5
Virginia,VA,> 8th Grade,2019,2743,97429,29.6
Virginia,VA,Associate Degree,2019,7064,97429,29.95
Virginia,VA,Bahcelor's Degree,2019,22222,97429,31.65
Virginia,VA,Doctorate,2019,3319,97429,34.5
Virginia,VA,High School Grad,2019,25988,97429,26.8
Virginia,VA,Master's Degree,2019,12611,97429,33.3
Virginia,VA,Some College Credit,2019,16558,97429,28.55
Virginia,VA,Unknown,2019,1473,97429,30.2
Virginia,VA,9th > 12th Grade,2020,5495,94749,25.7
Virginia,VA,> 8th Grade,2020,2912,94749,29.8
Virginia,VA,Associate Degree,2020,6916,94749,30.15
Virginia,VA,Bahcelor's Degree,2020,21844,94749,31.75
Virginia,VA,Doctorate,2020,3344,94749,34.35
Virginia,VA,High School Grad,2020,25144,94749,26.85
Virginia,VA,Master's Degree,2020,12430,94749,33.4
Virginia,VA,Some College Credit,2020,15786,94749,28.7
Virginia,VA,Unknown,2020,878,94749,30.65
Virginia,VA,9th > 12th Grade,2021,5453,95825,25.95
Virginia,VA,> 8th Grade,2021,2868,95825,29.9
Virginia,VA,Associate Degree,2021,6959,95825,30.2
Virginia,VA,Bahcelor's Degree,2021,23324,95825,31.85
Virginia,VA,Doctorate,2021,3563,95825,34.5
Virginia,VA,High School Grad,2021,24119,95825,26.9
Virginia,VA,Master's Degree,2021,13312,95825,33.4
Virginia,VA,Some College Credit,2021,15192,95825,28.85
Virginia,VA,Unknown,2021,1035,95825,31.4
Washington,WA,9th > 12th Grade,2016,8166,90505,25.3
Washington,WA,> 8th Grade,2016,2369,90505,30.75
Washington,WA,Associate Degree,2016,9100,90505,29.95
Washington,WA,Bahcelor's Degree,2016,19374,90505,31.6
Washington,WA,Doctorate,2016,2467,90505,34.2
Washington,WA,High School Grad,2016,19303,90505,26.95
Washington,WA,Master's Degree,2016,8204,90505,33.05
Washington,WA,Some College Credit,2016,20437,90505,28.35
Washington,WA,Unknown,2016,1085,90505,29.8
Washington,WA,9th > 12th Grade,2017,7532,87562,25.65
Washington,WA,> 8th Grade,2017,2142,87562,30.95
